Model,eval_BLEU,eval_ROUGE-1,eval_ROUGE-2,eval_ROUGE-L,eval_METEOR,eval_loss,BLEU,ROUGE-L,METEOR
Helsinki-NLP/opus-mt-en-hi,0.10887120302656993,0.11276693306693303,0.017833333333333333,0.11119281829281824,0.283735845490927,,0.10887120302656993,0.11119281829281824,0.283735845490927
facebook/mbart-large-50,0.003593247762123019,0.03573848592634726,0.00527755994795843,0.032356559448123684,0.005792247623594996,,0.003593247762123019,0.032356559448123684,0.005792247623594996
google/mt5-small,0.0,0.0019047619047619048,0.0005714285714285715,0.0019047619047619048,3.0581039755351684e-05,,0.0,0.0019047619047619048,3.0581039755351684e-05
